0 THERMODYNAMIC AND TRANSPORT PROPERTIES FOR METHANE PC=45.66 ATM,TC=190.77 K,ROC=.162 G/CC
 THERMODYNAMIC PROPERTY TABLE --- CH4
           1.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
   8.5  6.0465E-03  12.75    56.57   5.5271  3.1119  168.124 1.776
   9.0  5.6694E-03  13.06    59.32   5.4867  3.1127  173.605 1.763
   9.5  5.3391E-03  13.36    62.06   5.4534  3.1133  178.874 1.752
  10.0  5.0470E-03  13.64    64.78   5.4256  3.1137  183.956 1.743
  20.0  2.4474E-03  17.32   117.83   5.2482  3.1155  263.666 1.685
  30.0  1.6249E-03  19.44   170.13   5.2176  3.1157  323.260 1.675
  40.0  1.2176E-03  20.94   222.24   5.2069  3.1158  373.226 1.671
  50.0  9.7383E-04  22.10   274.29   5.2020  3.1158  417.166 1.670
  60.0  8.1153E-04  23.05   326.29   5.1993  3.1158  456.860 1.669
  70.0  6.9565E-04  23.85   378.28   5.1976  3.1158  493.350 1.668
  80.0  6.0875E-04  24.55   430.25   5.1966  3.1158  527.309 1.668
  90.0  5.4116E-04  25.16   482.21   5.1958  3.1158  559.201 1.668
 100.0  4.8709E-04  25.70   534.16   5.1953  3.1158  589.365 1.667
 200.0  2.4369E-04  29.30  1053.58   5.1936  3.1158  832.867 1.667
 300.0  1.6250E-04  31.41  1572.93   5.1933  3.1158 1019.759 1.667
 400.0  1.2189E-04  32.90  2092.25   5.1932  3.1158 1177.340 1.667
 500.0  9.7522E-05  34.06  2611.57   5.1932  3.1158 1316.186 1.667
 600.0  8.1273E-05  35.01  3130.88   5.1931  3.1158 1441.720 1.667
 THERMODYNAMIC PROPERTY TABLE --- HE 
           2.24 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
   3.0  1.4602E-01   2.33     6.47   2.6099  2.1799  233.495 1.197
   3.5  1.4132E-01   2.70     7.68   2.3482  1.5981  234.293 1.469
   4.0  1.3512E-01   3.06     9.05   3.3528  2.0621  214.578 1.626
   4.5  1.2637E-01   3.57    11.19   5.3903  3.0050  181.497 1.794
   5.0  1.1114E-01   4.29    14.64  48.0526 41.6361   90.147 1.154
   5.5  3.2183E-02   7.80    32.88   9.3522  2.6123  117.815 3.580
   6.0  2.5716E-02   8.53    37.10   7.8010  2.8959  127.432 2.694
   6.5  2.1902E-02   9.12    40.81   7.0939  3.0042  136.327 2.361
   7.0  1.9272E-02   9.63    44.24   6.6698  3.0533  144.372 2.184
   7.5  1.7308E-02  10.08    47.50   6.3855  3.0780  151.732 2.075
   8.0  1.5765E-02  10.49    50.64   6.1823  3.0914  158.551 2.000
   8.5  1.4511E-02  10.86    53.69   6.0306  3.0992  164.935 1.946
   9.0  1.3465E-02  11.20    56.68   5.9136  3.1039  170.960 1.905
   9.5  1.2576E-02  11.52    59.61   5.8210  3.1069  176.686 1.874
  10.0  1.1809E-02  11.81    62.50   5.7463  3.1089  182.155 1.848
  20.0  5.5141E-03  15.61   116.99   5.3149  3.1150  264.529 1.706
  30.0  3.6441E-03  17.75   169.73   5.2471  3.1156  324.564 1.684
  40.0  2.7277E-03  19.25   222.07   5.2236  3.1157  374.628 1.677
  50.0  2.1812E-03  20.42   274.25   5.2128  3.1158  418.570 1.673
  60.0  1.8177E-03  21.37   326.34   5.2068  3.1158  458.236 1.671
  70.0  1.5583E-03  22.17   378.39   5.2032  3.1158  494.687 1.670
  80.0  1.3638E-03  22.86   430.41   5.2009  3.1158  528.604 1.669
  90.0  1.2125E-03  23.48   482.41   5.1992  3.1158  560.455 1.669
 100.0  1.0915E-03  24.02   534.40   5.1981  3.1158  590.580 1.668
 200.0  5.4647E-04  27.62  1053.95   5.1943  3.1158  833.808 1.667
 300.0  3.6452E-04  29.73  1573.35   5.1936  3.1158 1020.551 1.667
 400.0  2.7348E-04  31.22  2092.69   5.1934  3.1158 1178.036 1.667
 500.0  2.1882E-04  32.38  2612.03   5.1933  3.1158 1316.814 1.667
 600.0  1.8238E-04  33.33  3131.35   5.1932  3.1158 1442.296 1.667
 SOLUTION OUT OF RANGE
 SOLUTION OUT OF RANGE
   10.18    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.25    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.33    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.13    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.20    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.28    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.35    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.42    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.28    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.35    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.43    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.28    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.36    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.44    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.29    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.29    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.21    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.30    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.30    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.30    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.31    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.31    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.31    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.31    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.22    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
   10.30    IS OUT OF RANGE FOR P  IN SUB.-ENTH  
 THERMODYNAMIC PROPERTY TABLE --- HE 
         100.00 ATMOSPHERE ISOBAR
   T     density  entropy  enthalpy    Cp     Cv       c    gamma
    K    gm/cc     J/G-K     J/gm    J/gm-K  J/gm-K  cm/sec
   3.0  2.1000E-01   1.33    56.76   1.6102  1.4870  553.991 1.083
   3.5  2.1000E-01   1.52    57.38   1.1654  1.0200  574.037 1.142
   4.0  2.0908E-01   1.68    57.99   1.5211  1.3544  568.310 1.123
   4.5  2.0781E-01   1.91    58.95   2.3310  2.1354  556.816 1.092
   5.0  2.0650E-01   2.16    60.13  40.8153 40.5811  530.365 1.006
