  alt    sigma     delta    theta   temp    press      dens    a    visc  k.visc
  Km                                  K    N/sq.m   kg/cu.m   m/s  kg/m-s sq.m/s
 370 3.9292E-12 2.3891E-11 3.4461  993.0 2.421E-06 4.813E-12 631.7 41.35 8.59E+06
 375 3.5848E-12 2.1909E-11 3.4481  993.6 2.220E-06 4.391E-12 631.9 41.36 9.42E+06
 380 3.2729E-12 2.0104E-11 3.4499  994.1 2.037E-06 4.009E-12 632.1 41.37 1.03E+07
 385 2.9901E-12 1.8457E-11 3.4516  994.6 1.870E-06 3.663E-12 632.2 41.39 1.13E+07
 390 2.7334E-12 1.6954E-11 3.4532  995.0 1.718E-06 3.348E-12 632.4 41.40 1.24E+07
 395 2.5002E-12 1.5582E-11 3.4546  995.4 1.579E-06 3.063E-12 632.5 41.41 1.35E+07
 400 2.2880E-12 1.4328E-11 3.4559  995.8 1.452E-06 2.803E-12 632.6 41.42 1.48E+07
 405 2.0949E-12 1.3181E-11 3.4571  996.2 1.336E-06 2.566E-12 632.7 41.43 1.61E+07
 410 1.9189E-12 1.2132E-11 3.4582  996.5 1.229E-06 2.351E-12 632.8 41.43 1.76E+07
 415 1.7586E-12 1.1171E-11 3.4592  996.8 1.132E-06 2.154E-12 632.9 41.44 1.92E+07
 420 1.6124E-12 1.0292E-11 3.4601  997.0 1.043E-06 1.975E-12 633.0 41.45 2.10E+07
 425 1.4790E-12 9.4862E-12 3.4610  997.3 9.612E-07 1.812E-12 633.1 41.45 2.29E+07
 430 1.3573E-12 8.7483E-12 3.4618  997.5 8.864E-07 1.663E-12 633.1 41.46 2.49E+07
 435 1.2461E-12 8.0719E-12 3.4625  997.7 8.179E-07 1.526E-12 633.2 41.46 2.72E+07
 440 1.1445E-12 7.4518E-12 3.4631  997.9 7.550E-07 1.402E-12 633.3 41.47 2.96E+07
 445 1.0517E-12 6.8829E-12 3.4637  998.1 6.974E-07 1.288E-12 633.3 41.47 3.22E+07
 450 9.6676E-13 6.3609E-12 3.4643  998.2 6.445E-07 1.184E-12 633.4 41.48 3.50E+07
 455 8.8907E-13 5.8818E-12 3.4648  998.4 5.960E-07 1.089E-12 633.4 41.48 3.81E+07
 460 8.1796E-13 5.4418E-12 3.4652  998.5 5.514E-07 1.002E-12 633.5 41.48 4.14E+07
 465 7.5283E-13 5.0376E-12 3.4656  998.6 5.104E-07 9.222E-13 633.5 41.49 4.50E+07
 470 6.9317E-13 4.6661E-12 3.4660  998.7 4.728E-07 8.491E-13 633.5 41.49 4.89E+07
 475 6.3848E-13 4.3245E-12 3.4664  998.8 4.382E-07 7.821E-13 633.6 41.49 5.31E+07
 480 5.8833E-13 4.0103E-12 3.4667  998.9 4.063E-07 7.207E-13 633.6 41.50 5.76E+07
 485 5.4232E-13 3.7212E-12 3.4670  999.0 3.770E-07 6.643E-13 633.6 41.50 6.25E+07
 490 5.0009E-13 3.4550E-12 3.4673  999.1 3.501E-07 6.126E-13 633.6 41.50 6.77E+07
 495 4.6132E-13 3.2099E-12 3.4675  999.2 3.252E-07 5.651E-13 633.7 41.50 7.34E+07
 500 4.2570E-13 2.9840E-12 3.4678  999.2 3.024E-07 5.215E-13 633.7 41.50 7.96E+07
 505 3.9297E-13 2.7758E-12 3.4680  999.3 2.813E-07 4.814E-13 633.7 41.50 8.62E+07
 510 3.6289E-13 2.5838E-12 3.4682  999.4 2.618E-07 4.445E-13 633.7 41.51 9.34E+07
 515 3.3523E-13 2.4067E-12 3.4683  999.4 2.439E-07 4.107E-13 633.7 41.51 1.01E+08
 520 3.0979E-13 2.2433E-12 3.4685  999.5 2.273E-07 3.795E-13 633.8 41.51 1.09E+08
 525 2.8639E-13 2.0924E-12 3.4687  999.5 2.120E-07 3.508E-13 633.8 41.51 1.18E+08
